CVE_VEND,FECHAELAB
1.0,2021-10-15 08:19:30.557
1.0,2021-10-15 09:01:08.393
1.0,2021-10-15 09:07:07.103
1.0,2021-10-15 15:00:58.727
1.0,2021-10-15 15:30:36.927
1.0,2021-10-15 15:43:15.297
1.0,2021-10-15 16:44:42.677
1.0,2021-10-20 08:26:23.640
1.0,2021-10-20 08:32:32.347
1.0,2021-10-20 16:44:43.113
1.0,2021-10-21 13:01:19.650
1.0,2021-10-25 15:07:42.990
1.0,2021-10-26 12:30:42.880
1.0,2021-10-27 14:58:56.587
1.0,2021-10-29 16:55:00.790
1.0,2021-11-03 10:10:35.653
1.0,2021-11-03 10:16:23.907
1.0,2021-11-03 10:31:23.073
1.0,2021-11-04 08:49:28.890
1.0,2021-11-04 09:59:26.397
1.0,2021-11-04 10:58:22.883
1.0,2021-11-04 11:01:06.227
1.0,2021-11-04 11:05:31.600
1.0,2021-11-04 11:08:37.287
1.0,2021-11-04 13:25:32.817
1.0,2021-11-05 09:47:12.980
1.0,2021-11-08 14:22:35.517
1.0,2021-11-09 07:52:36.580
1.0,2021-11-09 08:04:39.623
1.0,2021-11-09 08:12:56.593
1.0,2021-11-09 08:19:16.543
1.0,2021-11-09 10:41:20.543
1.0,2021-11-09 15:24:54.977
1.0,2021-11-10 09:43:19.683
1.0,2021-11-12 09:13:29.527
1.0,2021-11-12 09:15:48.557
1.0,2021-11-12 09:18:27.357
1.0,2021-11-12 10:20:11.257
1.0,2021-11-12 14:05:02.660
1.0,2021-11-18 10:49:17.647
1.0,2021-11-18 10:51:56.067
1.0,2021-11-18 10:54:05.280
1.0,2021-11-18 10:59:30.920
1.0,2021-11-18 11:02:31.500
1.0,2021-11-18 11:05:26.080
1.0,2021-11-18 11:50:55.897
1.0,2021-11-18 12:08:44.457
1.0,2021-11-19 13:30:32.320
1.0,2021-11-22 10:20:54.167
1.0,2021-11-22 11:20:04.477
1.0,2021-11-22 18:04:48.617
1.0,2021-11-25 16:24:01.827
1.0,2021-11-25 17:52:38.687
1.0,2021-11-26 07:46:06.713
1.0,2021-11-26 07:51:34.370
1.0,2021-11-26 17:40:41.580
1.0,2021-12-02 17:19:18.963
1.0,2021-12-02 17:23:46.640
1.0,2021-12-02 17:26:55.753
1.0,2021-12-02 17:28:58.203
1.0,2021-12-02 17:36:48.180
1.0,2021-12-03 12:09:29.327
1.0,2021-12-06 14:21:34.313
1.0,2021-12-07 10:25:55.180
1.0,2021-12-09 11:14:00.073
1.0,2021-12-09 14:26:10.667
1.0,2021-12-10 09:48:19.440
1.0,2021-12-10 09:52:18.367
1.0,2021-12-10 15:33:12.020
1.0,2021-12-17 11:03:35.467
1.0,2021-12-21 12:23:19.990
1.0,2021-12-21 15:39:53.397
1.0,2021-12-22 13:00:57.697
1.0,2021-12-22 13:08:13.153
1.0,2021-12-22 13:12:11.200
1.0,2021-12-22 13:25:29.610
1.0,2021-12-22 16:52:15.287
1.0,2021-12-23 14:29:50.730
1.0,2021-12-23 16:43:24.507
1.0,2021-12-23 16:54:56.457
1.0,2021-12-23 17:38:46.860
1.0,2021-12-23 17:41:14.963
1.0,2021-12-23 17:43:38.717
1.0,2021-12-30 11:01:23.887
1.0,2022-01-05 17:57:44.403
1.0,2022-01-07 15:56:42.897
1.0,2022-01-10 11:31:39.300
1.0,2022-01-10 16:02:00.500
1.0,2022-01-12 10:18:08.993
1.0,2022-01-14 11:42:12.060
1.0,2022-01-19 15:12:26.383
1.0,2022-01-21 13:15:00.773
1.0,2022-01-21 17:17:40.043
1.0,2022-01-24 12:48:48.050
1.0,2022-01-24 14:39:01.980
1.0,2022-01-24 14:54:38.550
1.0,2022-01-24 17:25:05.660
1.0,2022-01-25 17:26:32.393
1.0,2022-01-31 11:22:00.883
1.0,2022-01-31 11:40:48.357
1.0,2022-01-31 11:47:23.887
1.0,2022-01-31 12:07:52.857
1.0,2022-01-31 12:10:53.460
1.0,2022-01-31 15:22:23.643
1.0,2022-01-31 15:51:19.037
1.0,2022-01-31 16:04:58.640
1.0,2022-02-01 14:32:31.330
1.0,2022-02-01 14:48:48.250
1.0,2022-02-01 14:51:31.550
1.0,2022-02-03 14:32:41.043
1.0,2022-02-08 10:00:53.577
1.0,2022-02-08 10:06:01.833
1.0,2022-02-08 11:03:11.930
1.0,2022-02-08 12:16:46.800
1.0,2022-02-09 08:25:06.353
1.0,2022-02-09 16:17:32.717
1.0,2022-02-09 17:03:02.463
1.0,2022-02-09 17:06:33.167
1.0,2022-02-09 17:41:21.057
1.0,2022-02-10 14:03:57.433
1.0,2022-02-10 15:29:21.953
1.0,2022-02-10 16:45:38.220
1.0,2022-02-14 10:33:46.410
1.0,2022-02-14 17:53:17.750
1.0,2022-02-18 12:05:08.147
1.0,2022-02-18 14:49:10.780
1.0,2022-02-18 14:51:12.003
1.0,2022-02-18 15:19:00.963
1.0,2022-02-21 13:58:30.280
1.0,2022-02-21 15:03:55.150
1.0,2022-02-22 13:53:55.917
1.0,2022-02-24 15:25:39.693
1.0,2022-02-25 10:59:22.673
1.0,2022-02-25 15:45:54.387
1.0,2022-02-25 15:59:48.847
1.0,2022-02-25 16:04:18.443
1.0,2022-02-25 16:09:28.617
1.0,2022-02-25 16:11:51.893
1.0,2022-02-25 17:03:58.640
1.0,2022-02-25 17:10:46.793
1.0,2022-02-25 17:13:16.767
1.0,2022-02-28 10:56:02.460
1.0,2022-02-28 16:56:15.027
1.0,2022-02-28 17:41:34.787
1.0,2022-03-03 10:33:40.743
1.0,2022-03-04 15:08:49.747
1.0,2022-03-08 09:15:20.507
1.0,2022-03-08 15:14:08.677
1.0,2022-03-09 17:37:25.150
1.0,2022-03-10 08:26:58.687
1.0,2022-03-10 08:39:48.800
1.0,2022-03-10 15:21:45.987
1.0,2022-03-10 15:25:29.893
1.0,2022-03-15 10:45:45.300
1.0,2022-03-15 10:50:34.647
1.0,2022-03-16 18:13:10.567
1.0,2022-03-16 18:16:22.073
